,year,county,population,median_income,perc_unemployed,perc_poverty,perc_white,normalized_deaths,deaths,cumulative_deaths,normalized_cumulative_deaths
0,1,1,28142,34044,10.891666666666666,21.400000000000002,97.27098287257479,3.257290408168099e-05,11,11,0.0003908748489801719
1,1,2,104946,39318,6.233333333333333,18.800000000000004,84.46057972671659,6.352473335493175e-06,8,8,7.62296800259181e-05
2,1,3,54622,43794,6.608333333333334,16.699999999999996,96.9554392003222,7.6281840040032705e-06,5,5,9.153820804803925e-05
3,1,4,101375,39501,7.558333333333333,17.5,93.85745992601726,1.2330456226880395e-05,15,15,0.00014796547472256474
4,1,5,63073,30823,7.141666666666666,34.699999999999996,93.23799407036292,1.453342423329581e-05,11,11,0.00017440109079954974
5,1,6,46620,48797,4.683333333333333,8.5,97.21578721578724,7.15000715000715e-06,4,4,8.58000858000858e-05
6,1,7,68372,37473,8.258333333333335,16.800000000000004,93.70648803603815,9.750580159519492e-06,8,8,0.0001170069619142339
7,1,8,43823,44796,7.966666666666666,13.0,97.48990256258129,3.2327012451604564e-05,17,17,0.00038792414941925474
8,1,9,356878,53543,5.733333333333333,13.199999999999998,88.71350993897072,1.914753314391286e-05,82,82,0.0002297703977269543
9,1,10,28752,40277,7.633333333333332,13.5,97.2523650528659,1.1593396401409758e-05,4,4,0.0001391207568169171
10,1,11,39549,49500,5.641666666666667,10.200000000000001,95.02389440946673,8.42836312759699e-06,4,4,0.00010114035753116388
11,1,12,140419,42458,6.375,16.300000000000004,87.83925252280675,1.8990782349017343e-05,32,32,0.0002278893881882081
12,1,13,193377,57877,5.766666666666667,10.400000000000002,96.33358672437775,1.7237486016089473e-05,40,40,0.00020684983219307367
13,1,14,42820,49453,7.1499999999999995,11.900000000000004,94.54694068192431,2.3353573096683792e-05,12,12,0.0002802428771602055
14,1,15,108683,38004,7.400000000000001,16.400000000000002,95.60556848817203,1.610187425816365e-05,21,21,0.00019322249109796378
15,1,16,36215,38887,7.833333333333333,14.599999999999996,96.79690735882922,4.602144599383313e-06,2,2,5.522573519259975e-05
16,1,17,44181,38110,7.133333333333333,14.900000000000004,97.10735383988593,1.5089442671434931e-05,8,8,0.00018107331205721917
17,1,18,1296287,40254,5.941666666666667,18.900000000000002,65.85709800375999,1.4850106496478018e-05,231,231,0.0001782012779577362
18,1,19,52196,40879,5.883333333333333,11.900000000000004,97.72013181086673,1.4368917158402942e-05,9,9,0.0001724270059008353
19,1,20,38516,45229,5.633333333333333,11.900000000000004,93.8882542320075,8.654412019247412e-06,4,4,0.00010385294423096895
20,1,21,159868,84762,4.291666666666667,5.1000000000000005,89.98486251157205,9.382740761127932e-06,18,18,0.00011259288913353517
21,1,22,77400,44499,8.3,14.599999999999996,87.47932816537468,9.689922480620154e-06,9,9,0.00011627906976744185
22,1,23,140842,52290,5.466666666666666,11.799999999999999,90.92529217136935,1.2425270870904986e-05,21,21,0.00014910325045085982
